卡牌ID,卡牌ID,下一级别卡牌ID,需求游戏币,需求代币,需求材料2,需求材料3,需求材料4,需求材料5,需求材料6,需求材料7,需求材料8,需求材料9
1152,31031,310311,1165,,item|200001|365,item|400001|40,item|300004|2,,,,,
1153,310311,310312,4075,,item|200001|640,item|400001|155,item|300004|4,,,,,
1154,32031,320311,1165,,item|200001|365,item|400001|40,item|300004|2,,,,,
1155,320311,320312,4075,,item|200001|640,item|400001|155,item|300004|4,,,,,
1156,33031,330311,1165,,item|200001|365,item|400001|40,item|300004|2,,,,,
1157,330311,330312,4075,,item|200001|640,item|400001|155,item|300004|4,,,,,
1158,34031,340311,1165,,item|200001|365,item|400001|40,item|300004|2,,,,,
1159,340311,340312,4075,,item|200001|640,item|400001|155,item|300004|4,,,,,
1160,35031,350311,1165,,item|200001|365,item|400001|40,item|300004|2,,,,,
1161,350311,350312,4075,,item|200001|640,item|400001|155,item|300004|4,,,,,
1162,36031,360311,1165,,item|200001|365,item|400001|40,item|300004|2,,,,,
1163,360311,360312,4075,,item|200001|640,item|400001|155,item|300004|4,,,,,
